Fecha,Turno,Posicion,Numero
25/06/2024,Nocturna,13,965
25/06/2024,Nocturna,14,552
25/06/2024,Nocturna,15,662
25/06/2024,Nocturna,16,090
25/06/2024,Nocturna,17,013
25/06/2024,Nocturna,18,983
25/06/2024,Nocturna,19,286
25/06/2024,Nocturna,20,368
25/06/2024,Vespertina,01,867
25/06/2024,Vespertina,02,018
25/06/2024,Vespertina,03,786
25/06/2024,Vespertina,04,114
25/06/2024,Vespertina,05,351
25/06/2024,Vespertina,06,013
25/06/2024,Vespertina,07,103
25/06/2024,Vespertina,08,701
25/06/2024,Vespertina,09,941
25/06/2024,Vespertina,10,738
25/06/2024,Vespertina,11,209
25/06/2024,Vespertina,12,748
25/06/2024,Vespertina,13,778
25/06/2024,Vespertina,14,997
25/06/2024,Vespertina,15,491
25/06/2024,Vespertina,16,617
25/06/2024,Vespertina,17,097
25/06/2024,Vespertina,18,106
25/06/2024,Vespertina,19,114
25/06/2024,Vespertina,20,341
24/06/2024,Nocturna,01,669
24/06/2024,Nocturna,02,882
24/06/2024,Nocturna,03,737
24/06/2024,Nocturna,04,185
24/06/2024,Nocturna,05,331
24/06/2024,Nocturna,06,102
24/06/2024,Nocturna,07,563
24/06/2024,Nocturna,08,528
24/06/2024,Nocturna,09,667
24/06/2024,Nocturna,10,994
24/06/2024,Nocturna,11,153
24/06/2024,Nocturna,12,305
24/06/2024,Nocturna,13,057
24/06/2024,Nocturna,14,606
24/06/2024,Nocturna,15,997
24/06/2024,Nocturna,16,232
24/06/2024,Nocturna,17,803
24/06/2024,Nocturna,18,111
24/06/2024,Nocturna,19,336
24/06/2024,Nocturna,20,845
24/06/2024,Vespertina,01,027
24/06/2024,Vespertina,02,984
24/06/2024,Vespertina,03,282
24/06/2024,Vespertina,04,840
24/06/2024,Vespertina,05,039
24/06/2024,Vespertina,06,581
24/06/2024,Vespertina,07,220
24/06/2024,Vespertina,08,321
24/06/2024,Vespertina,09,863
24/06/2024,Vespertina,10,071
24/06/2024,Vespertina,11,980
24/06/2024,Vespertina,12,306
24/06/2024,Vespertina,13,573
24/06/2024,Vespertina,14,908
24/06/2024,Vespertina,15,796
24/06/2024,Vespertina,16,076
24/06/2024,Vespertina,17,023
24/06/2024,Vespertina,18,521
24/06/2024,Vespertina,19,727
24/06/2024,Vespertina,20,869
22/06/2024,Nocturna,01,844
22/06/2024,Nocturna,02,195
22/06/2024,Nocturna,03,683
22/06/2024,Nocturna,04,911
22/06/2024,Nocturna,05,077
22/06/2024,Nocturna,06,784
22/06/2024,Nocturna,07,683
22/06/2024,Nocturna,08,299
22/06/2024,Nocturna,09,521
22/06/2024,Nocturna,10,680
22/06/2024,Nocturna,11,444
22/06/2024,Nocturna,12,576
22/06/2024,Nocturna,13,260
22/06/2024,Nocturna,14,198
22/06/2024,Nocturna,15,130
22/06/2024,Nocturna,16,742
22/06/2024,Nocturna,17,213
22/06/2024,Nocturna,18,188
22/06/2024,Nocturna,19,659
22/06/2024,Nocturna,20,152
21/06/2024,Nocturna,01,809
21/06/2024,Nocturna,02,991
21/06/2024,Nocturna,03,619
21/06/2024,Nocturna,04,374
21/06/2024,Nocturna,05,034
21/06/2024,Nocturna,06,535
21/06/2024,Nocturna,07,229
21/06/2024,Nocturna,08,683
21/06/2024,Nocturna,09,998
21/06/2024,Nocturna,10,691
21/06/2024,Nocturna,11,478
